job_location,post_code
Adelaide City Centre SA,5000
Melbourne City Centre VIC,3000
Sydney Central Business District NSW,2000
Brisbane Central Business District QLD,4000
Perth Central Business District WA,6000
(Keeling) Islands WA,6799
Aarons Pass NSW,2850
Abba River WA,6280
Abbey WA,6280
Abbeyard VIC,3737
Abbeywood QLD,4613
Abbotsbury NSW,2176
Abbotsford NSW,2046
Abbotsford QLD,4670
Abbotsford VIC,3067
Abbotsham TAS,7315
Abeckett Street VIC,8006
Abels Bay TAS,7112
Abercorn QLD,4627
Abercrombie NSW,2795
Abercrombie River NSW,2795
Aberdare NSW,2325
Aberdeen NSW,2336
Aberdeen TAS,7310
Aberfeldie VIC,3040
Aberfeldy VIC,3825
Aberfoyle NSW,2350
Aberfoyle Park SA,5159
Aberglasslyn NSW,2320
Abergowrie QLD,4850
Abermain NSW,2326
Abernethy NSW,2325
Abingdon Downs QLD,4892
Abington NSW,2350
Abington QLD,4660
Acacia Creek NSW,2476
Acacia Gardens NSW,2763
Acacia Hills TAS,7306
Acacia Ridge QLD,4110
Acheron VIC,3714
Acland QLD,4401
Acton ACT,2601
Acton Park TAS,7170
Acton Park WA,6280
Acton TAS,7320
Ada VIC,3833
Adaminaby NSW,2629
Adams Estate VIC,3984
Adamstown Heights NSW,2289
Adamstown NSW,2289
Adamsvale WA,6375
Adare QLD,4343
Adavale QLD,4474
Addington VIC,3352
Adelaide Airport SA,5950
Adelaide Bc SA,5000
Adelaide Lead VIC,3465
Adelaide Park QLD,4703
Adelaide River NT,846
Adelaide SA,5000
Adelong NSW,2729
Adjungbilly NSW,2727
Advancetown QLD,4211
Aeroglen QLD,4870
Afterlee NSW,2474
Agery SA,5558
Agnes Banks NSW,2753
Agnes VIC,3962
Agnes Water QLD,4677
Ainslie ACT,2602
Airdmillan QLD,4807
Airds NSW,2560
Aire Valley VIC,3237
Aireys Inlet VIC,3231
Airlie Beach QLD,4802
Airly VIC,3851
Airport NSW,2020
Airport West VIC,3042
Airville QLD,4807
Aitkenvale QLD,4814
Ajana WA,6532
Akaroa TAS,7216
Akolele NSW,2546
Alabama Hill QLD,4820
Alawa NT,810
Alawoona SA,5311
Albacutya VIC,3424
Albanvale VIC,3021
Albany Creek QLD,4035
Albany Dc WA,6331
Albany Po WA,6332
Albany WA,6330
Albert NSW,2873
Albert Park SA,5014
Albert Park VIC,3206
Alberta QLD,4702
Alberton QLD,4207
Alberton SA,5014
Alberton TAS,7263
Alberton VIC,3971
